training	Roberto Angel Salcedo	It has a great name, but thats it and you wont get more than that for your money, in fact the first 30-40mins of the movie you might find it some kind of funny but after that the story goes from one side to another with no particular reason and you just cant understand whats happening until the action its gone.And yet the producers (█████████████████████) calls him an actor, but i don't think the way he does could be called nothing but overacting!!....period. The little kid who plays as his son has totally no sense of acting and i believe it was just a favor he did or something because he had no clue of what he was doing.For some reason while doing the casting they thought that by casting comedians they could made it, but they didn't!! and sometimes the tasteless cheap humor its so bad, i don't buy it.But hopefully this is as bad as it gets. To make people accept those DVD's to the good taste public they will have to offer some food with it, that might work out.Maka
training	Jack Black	I watched 'Envy' two nights ago, on DVD, at a friends house. The premise of this film is quite promising, ██████████ and Ben Stiller in a comedy with a lot of potential, but it completely fails to deliver. I watched it with about five friends and no-one laughed for the entire film. The jokes (which are few and far between) are NOT funny in any way... the story line is crap, and they never answer the question... WHERE DOES THE SH*T GO? Of course the answer to that is NO ONE CARES. This film lacks any sort of comedy value, and as a few other users have said the only thing that makes it even almost worth watching is Christopher Walken as the J-man. None of the characters are developed, the plots so thin it's nearly transparent - and is that song throughout the film supposed to be funny??
training	Ben Stiller	I watched 'Envy' two nights ago, on DVD, at a friends house. The premise of this film is quite promising, Jack Black and ███████████ in a comedy with a lot of potential, but it completely fails to deliver. I watched it with about five friends and no-one laughed for the entire film. The jokes (which are few and far between) are NOT funny in any way... the story line is crap, and they never answer the question... WHERE DOES THE SH*T GO? Of course the answer to that is NO ONE CARES. This film lacks any sort of comedy value, and as a few other users have said the only thing that makes it even almost worth watching is Christopher Walken as the J-man. None of the characters are developed, the plots so thin it's nearly transparent - and is that song throughout the film supposed to be funny??
training	Christopher Walken	I watched 'Envy' two nights ago, on DVD, at a friends house. The premise of this film is quite promising, Jack Black and Ben Stiller in a comedy with a lot of potential, but it completely fails to deliver. I watched it with about five friends and no-one laughed for the entire film. The jokes (which are few and far between) are NOT funny in any way... the story line is crap, and they never answer the question... WHERE DOES THE SH*T GO? Of course the answer to that is NO ONE CARES. This film lacks any sort of comedy value, and as a few other users have said the only thing that makes it even almost worth watching is ██████████████████ as the J-man. None of the characters are developed, the plots so thin it's nearly transparent - and is that song throughout the film supposed to be funny??
training	DeMille	Sure this movie is not historically accurate but it is great entertainment. Most ███████ pictures especially the later epics are slow and plodding but the action here moves at a clip. The story is basically a series of peaks with very little quiet moments. The action takes us from an Indian raid on a cabin; one of the best parts of the movie with Jean Arthur excellent while attempting to appease the war-painted natives. This is followed by her and Cooper being taken to the war camp and being tortured. Later comes a protracted battle with the Cheyenne. The whole thing is ridiculous but great fun and entertaining from start to finish. Jean Arthur is one of the best actresses of this era and she shines here.
training	Jean Arthur	Sure this movie is not historically accurate but it is great entertainment. Most DeMille pictures especially the later epics are slow and plodding but the action here moves at a clip. The story is basically a series of peaks with very little quiet moments. The action takes us from an Indian raid on a cabin; one of the best parts of the movie with ███████████ excellent while attempting to appease the war-painted natives. This is followed by her and Cooper being taken to the war camp and being tortured. Later comes a protracted battle with the Cheyenne. The whole thing is ridiculous but great fun and entertaining from start to finish. ███████████ is one of the best actresses of this era and she shines here.
training	Cooper	Sure this movie is not historically accurate but it is great entertainment. Most DeMille pictures especially the later epics are slow and plodding but the action here moves at a clip. The story is basically a series of peaks with very little quiet moments. The action takes us from an Indian raid on a cabin; one of the best parts of the movie with Jean Arthur excellent while attempting to appease the war-painted natives. This is followed by her and ██████ being taken to the war camp and being tortured. Later comes a protracted battle with the Cheyenne. The whole thing is ridiculous but great fun and entertaining from start to finish. Jean Arthur is one of the best actresses of this era and she shines here.
training	Geisha	I love Memoirs of a ██████ so I read the book twice; it is one of the best book I've read last year. I was looking forward to the movie and was afraid that reading the book would ruin the viewing pleasure of the movie. I wasn't expecting the movie to be that bad. Some of the best part of the book was omitted from the movie and the characters were weak with Hatsumomo (Li Gong)been the worst. If I haven't read the book, this movie would be a little confusing and inexplicable. The Plot Outline of the movie states "Nitta Sayuri reveals how she transcended her fishing..." Did anyone see how or when Sayuri became Nitta Sayuri? Forget the movie and read the book.
training	Sayuri	I love Memoirs of a Geisha so I read the book twice; it is one of the best book I've read last year. I was looking forward to the movie and was afraid that reading the book would ruin the viewing pleasure of the movie. I wasn't expecting the movie to be that bad. Some of the best part of the book was omitted from the movie and the characters were weak with Hatsumomo (Li Gong)been the worst. If I haven't read the book, this movie would be a little confusing and inexplicable. The Plot Outline of the movie states "Nitta ██████ reveals how she transcended her fishing..." Did anyone see how or when ██████ became Nitta ██████? Forget the movie and read the book.
training	Lycanthropic Paul Naschy's	"While traveling in the mountains, a man is attached by a mysterious creature that promptly departs, leaving no trace of its presence. Unbeknownst to the man, he has been attacked by a werewolf and now he's inherited the curse associated with such creatures. Now our hero must race against time to rid himself of this dreadful affliction before the next full moon," according to the DVD sleeve's synopsis.Horrifically re-produced from the original Spanish, "The Fury of the Wolf Man" loses whatever charms it may have possessed in its original form. ██████████████████████████ werewolf characterization is uneven and ineffectual. Dominatrix scientist Perla Cristal and sexy assistant Verónica Luján never get close enough to truly titillate. The often incoherent storyline isn't even ghoulishly amusing.
